t_index	term	df
516	anna	21
517	annabel	1
518	annacon	1
519	annan	13
520	anniversari	15
521	announc	164
522	annoy	2
523	annual	18
524	annul	11
525	anomali	1
526	anonym	63
527	anoth	263
528	answer	48
529	antagon	1
530	antasiaovich	1
531	antenna	2
532	anthem	6
533	anthoni	27
534	anthropologist	2
535	anti	1
536	anti-aircraft	2
537	anti-american	16
538	anti-ballist	1
539	anti-bush	1
540	anti-castro	1
541	anti-communist	2
542	anti-corrupt	2
543	anti-diarrhea	1
544	anti-fbi	2
545	anti-islam	3
546	anti-israel	2
547	anti-militari	1
548	anti-milosev	20
549	anti-missil	1
550	anti-northern	1
551	anti-radar	1
552	anti-ship	2
553	anti-soviet	1
554	anti-submarin	1
555	anti-terror	6
556	anti-terrorist	8
557	anti-u	9
558	anti-war	8
559	anti-western	5
560	antiballist	1
561	antibiot	5
562	anticip	17
563	anticlimact	1
564	antonia	6
565	antonin	1
566	antonio	26
567	anwar	4
568	anxieti	3
569	anxiou	11
570	anxious	2
571	anybodi	14
572	anymor	9
573	anyon	58
574	anyth	94
575	anytim	4
576	anyway	13
577	anywher	18
578	aon	1
579	ap	20
580	apart	68
581	ape	1
582	apec	4
583	apex	1
584	apolit	1
585	apolog	18
586	appal	1
587	appallingli	1
588	appar	193
589	apparatu	7
590	appeal	95
591	appear	196
592	appel	1
593	appetit	2
594	appl	3
595	applaud	10
596	applaus	8
597	apple-pick	1
598	appleton	2
599	appli	18
600	applic	16
601	appoint	65
602	appointe	3
603	apprais	2
604	appreci	16
605	apprehend	4
606	apprehens	2
607	apprentic	3
608	appris	1
609	approach	49
610	appropri	18
611	approv	25
612	approxim	12
613	april	67
614	aprista	4
615	apron	1
616	aquil	2
617	ar-15	1
618	arab	61
619	arab-american	2
620	arab-languag	3
621	arab-look	1
622	arab-speak	1
623	arabi	1
624	arabia	71
625	arabian	44
626	arabian-born	1
627	arafat	16
628	arantxa	3
629	arazi	7
630	arbadi	1
631	arbit	1
632	arbitrari	2
633	arbitrarili	1
634	arc	1
635	arch	2
636	archaeolog	2
637	archbishop	4
638	archer	1
639	archeri	4
640	archetyp	1
641	archi	3
642	archibald	1
643	architect	7
644	architectur	4
645	arctic	6
646	ardent	4
647	arduou	1
648	area	184
649	aren	16
650	arena	22
651	aretz	1
652	argentin	1
653	argentina	10
654	argu	45
655	arguabl	2
656	argument	18
657	ari	1
658	arid	5
659	arif	1
660	arisen	1
661	arithmet	1
662	aritomi	4
663	ariz	6
664	arizona	7
665	ark	8
666	arkadelphia	1
667	arkan	1
